CNN,Seed,tf1,tf2,tf3,tf4,tf5,tf6,tf7,tf8,tf9,tf10,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
90,223,AC0074(Ikzf3)-f80,AC0069/AC0073(Pax4/Prdm5)-f29,AC0069(Pax4)-f87,AC0073(Prdm5)-f59,AC0069(Pax4)-f14,AC0069/AC0012/AC0033(Pax4/Hoxd8/Hes1)-f79,AC0069/AC0048(Pax4/Gata1::Tal1)-f21,AC0069(Pax4)-f58,AC0069(Pax4)-f10,AC0069(Pax4)-f51,0.16186833,0.15713698,0.15434943,0.15286955,0.15047233,0.14167239,0.12898669,0.12863764,0.1284496,0.12833682
90,276,AC0075(Zfp335)-f73,AC0069/AC0073(Pax4/Prdm5)-f60,AC0069(Pax4)-f16,AC0069(Pax4)-f84,AC0029(Zic3)-f44,AC0069(Pax4)-f59,AC0069(Pax4)-f22,AC0069(Pax4)-f64,AC0069(Pax4)-f12,AC0069(Pax4)-f53,0.19604863,0.15301934,0.14804369,0.14673723,0.13893253,0.1382013,0.13798234,0.13441399,0.12783523,0.12745924
90,291,AC0069(Pax4)-f82,AC0004/AC0069(Sox2/Pax4)-f80,AC0069(Pax4)-f64,AC0069(Pax4)-f8,AC0069(Pax4)-f48,AC0069/AC0068(Pax4/Pax5)-f22,AC0010(Nanog)-f60,AC0069(Pax4)-f61,AC0069(Pax4)-f56,AC0069(Pax4)-f73,0.17843702,0.16709253,0.15482825,0.15091088,0.14907484,0.1462546,0.12286216,0.119639136,0.116227396,0.11410067
90,832,AC0075(Zfp335)-f22,AC0069(Pax4)-f44,AC0069(Pax4)-f39,AC0069(Pax4)-f86,AC0069(Pax4)-f18,AC0069(Pax4)-f16,AC0069(Pax4)-f57,AC0069(Pax4)-f8,AC0069(Pax4)-f6,AC0069(Pax4)-f72,0.21817432,0.15932435,0.15389995,0.15333816,0.14872833,0.14636566,0.1426888,0.14222878,0.14010589,0.13527817
90,930,AC0069/AC0073(Pax4/Prdm5)-f76,AC0069(Pax4)-f13,AC0065/AC0069(Klf4/Pax4)-f47,AC0069/AC0063(Pax4/Hnf1A/Lef1)-f29,AC0069(Pax4)-f77,AC0069(Pax4)-f45,AC0069/AC0072/AC0063(Pax4/Nfat5/Lef1)-f79,AC0069(Pax4)-f15,AC0069(Pax4)-f1,AC0069(Pax4)-f34,0.17660415,0.17540532,0.16583967,0.15795125,0.14869036,0.14808056,0.14630343,0.1374677,0.13170452,0.13071108
95,223,AC0069(Pax4)-f16,AC0069/AC0052(Pax4/Bcl11B)-f25,AC0069/AC0047(Pax4/Plagl1)-f67,AC0002(Irf1)-f86,AC0069(Pax4)-f59,AC0069(Pax4)-f53,AC0069(Pax4)-f90,AC0069(Pax4)-f13,AC0069(Pax4)-f85,AC0069(Pax4)-f44,0.14654672,0.14497861,0.13482301,0.1301458,0.12203808,0.12180249,0.12090716,0.11806326,0.1179103,0.117773615
95,276,AC0069(Pax4)-f84,AC0069(Pax4)-f8,AC0069(Pax4)-f27,AC0069(Pax4)-f63,AC0069(Pax4)-f54,AC0069(Pax4)-f52,AC0069/AC0012(Pax4/Lhx1)-f89,AC0069(Pax4)-f68,AC0069(Pax4)-f37,AC0069(Pax4)-f91,0.17342049,0.14179085,0.13178863,0.12873912,0.1272216,0.12427682,0.12384964,0.11396411,0.11357274,0.11244851
95,291,AC0069(Pax4)-f57,AC0069/AC0073(Pax4/Prdm5)-f47,AC0069(Pax4)-f59,AC0069/AC0045(Pax4/Ebf2)-f42,AC0069(Pax4)-f49,AC0069/AC0070(Pax4/Wt1)-f68,AC0064/AC0069(Pparg::Rxra/Pax4)-f80,AC0069(Pax4)-f13,AC0069(Pax4)-f36,AC0069(Pax4)-f35,0.17332439,0.16513902,0.16032763,0.15992266,0.15287808,0.15127502,0.15059602,0.14587823,0.14414436,0.13291371
95,832,AC0069(Pax4)-f40,AC0069(Pax4)-f86,AC0048/AC0069(Gata1::Tal1/Pax4)-f81,AC0069(Pax4)-f44,AC0069/AC0073(Pax4/Prdm5)-f24,AC0069(Pax4)-f90,AC0069/AC0073/AC0028(Pax4/Prdm5/Prdm15)-f47,AC0069(Pax4)-f32,AC0069(Pax4)-f62,AC0029/AC0069(Zic2/Pax4)-f28,0.1545249,0.1516571,0.15150122,0.14712352,0.14638871,0.13538764,0.13456264,0.13229236,0.13092715,0.12454573
95,350,AC0029/AC0026(Zic3/Zic2/Zic1::Zic2/Neurod2)-f73,AC0069(Pax4)-f81,AC0069(Pax4)-f65,AC0069(Pax4)-f19,AC0069(Pax4)-f93,AC0069(Pax4)-f62,AC0069(Pax4)-f37,AC0069(Pax4)-f75,AC0069(Pax4)-f78,AC0069(Pax4)-f15,0.17016456,0.17002206,0.16103797,0.1571779,0.15505493,0.15409763,0.14492664,0.1407748,0.13968302,0.13906194
100,223,AC0029(Zic3)-f52,AC0069(Pax4)-f62,AC0069(Pax4)-f69,AC0069(Pax4)-f86,AC0069(Pax4)-f48,AC0069(Pax4)-f46,AC0069(Pax4)-f85,AC0065(Klf4)-f94,AC0069(Pax4)-f88,AC0069(Pax4)-f90,0.16099569,0.16026878,0.15999822,0.15264916,0.14712292,0.14229324,0.14091049,0.13995375,0.13797346,0.13271695
100,276,AC0069(Pax4)-f19,AC0069(Pax4)-f50,AC0069(Pax4)-f42,AC0069(Pax4)-f86,AC0069(Pax4)-f79,AC0069/AC0052(Pax4/Bcl11B)-f98,AC0069(Pax4)-f64,AC0069(Pax4)-f11,AC0069(Pax4)-f66,AC0069(Pax4)-f92,0.16672245,0.15987961,0.14996956,0.14485526,0.14292535,0.13963492,0.13936362,0.13707447,0.13539968,0.13519008
100,291,AC0066(Gli1/Gli2)-f69,AC0069/AC0064(Pax4/Pparg::Rxra)-f23,AC0069(Pax4)-f53,AC0069/AC0068/AC0073(Pax4/Pax5/Prdm5)-f41,AC0069(Pax4)-f35,AC0069/AC0012(Pax4/Hoxd8)-f82,AC0069(Pax4)-f18,AC0069/AC0073/AC0074(Pax4/Prdm5/Ikzf3)-f99,AC0069/AC0073(Pax4/Prdm5)-f72,AC0069(Pax4)-f32,0.22980453,0.15083884,0.1492819,0.14916654,0.14070536,0.13768515,0.13744082,0.13614877,0.13353641,0.131466
100,832,AC0069/AC0074(Pax4/Ikzf3)-f19,AC0069(Pax4)-f18,AC0069(Pax4)-f64,AC0069(Pax4)-f84,AC0069(Pax4)-f26,AC0069/AC0012(Pax4/Lhx1/Hoxd8)-f88,AC0069(Pax4)-f40,AC0069(Pax4)-f69,AC0069(Pax4)-f39,AC0069(Pax4)-f22,0.15873864,0.15451042,0.14817601,0.14491212,0.1431023,0.1429647,0.14252944,0.13314447,0.1303099,0.12519775
100,350,AC0001(Foxl2)-f46,AC0069(Pax4)-f58,AC0069(Pax4)-f2,AC0069(Pax4)-f37,AC0069(Pax4)-f86,AC0069(Pax4)-f1,AC0069(Pax4)-f35,AC0069(Pax4)-f56,AC0069(Pax4)-f34,AC0069(Pax4)-f19,0.17090322,0.14717521,0.14687273,0.14364888,0.14018348,0.13774157,0.13302416,0.123678036,0.1199404,0.11540068
