batch,lr,drop_out,seed,mse,rmse,mae,r2,pearson_corr,spearman_corr
24,0.00006,0.3,500,0.08877846,0.29795715,0.23776957,-0.1610280147173293,0.5421642592316704,0.5183383886879712
24,0.00010,0.3,500,0.09976586,0.31585735,0.25479624,-0.30471927301594026,0.5724313737758489,0.5419498897026377
24,0.00040,0.3,500,0.062067542,0.24913359,0.19062606,0.1882923160796126,0.5860247080126759,0.5593870907393762
48,0.00006,0.1,500,0.080504246,0.2837327,0.220388,-0.05281934842900693,0.5256420873332481,0.5024794271847666
48,0.00010,0.1,500,0.074479535,0.2729094,0.21061581,0.025970627094021204,0.5494643974737841,0.5270260545744816
48,0.00040,0.1,500,0.06237868,0.24975725,0.19136137,0.1842234080177636,0.5496679323761342,0.5167452544283713
48,0.00006,0.3,500,0.06830747,0.26135698,0.20202133,0.10668785534402281,0.582603489186727,0.5520097677207049
48,0.00010,0.3,500,0.06698925,0.25882283,0.20028013,0.12392719227891702,0.5396065896130835,0.5005536995640764
48,0.00040,0.3,500,0.07759076,0.2785512,0.21814044,-0.01471744798673602,0.5692671054894161,0.5466927448533956
96,0.00006,0.1,500,0.06427464,0.25352442,0.19487001,0.159428284556429,0.5083465698315219,0.4858695313996789
96,0.00010,0.1,500,0.05801005,0.24085276,0.1856205,0.24135548059889544,0.5674875771369788,0.5417055516560391
